name,slug,homepage,version,active_installs,path
"Flamingo",flamingo,,2.2.3,700000,plugins/zip/49/flamingo/flamingo.zip
"BackWPup &#8211; WordPress Backup Plugin",backwpup,http://backwpup.com,3.10.0,700000,plugins/zip/17/backwpup/backwpup.zip
"Slider, Gallery, and Carousel by MetaSlider &#8211; Responsive WordPress Plugin",ml-slider,https://www.metaslider.com,3.27.3,700000,plugins/zip/63/ml-slider/ml-slider.zip
"Antispam Bee",antispam-bee,https://antispambee.pluginkollektiv.org/,2.11.0,700000,plugins/zip/77/antispam-bee/antispam-bee.zip
"Broken Link Checker",broken-link-checker,https://wordpress.org/plugins/broken-link-checker/,1.11.16,700000,plugins/zip/28/broken-link-checker/broken-link-checker.zip
"WordPress Shortcodes Plugin — Shortcodes Ultimate",shortcodes-ultimate,https://getshortcodes.com/,5.12.0,700000,plugins/zip/30/shortcodes-ultimate/shortcodes-ultimate.zip
"Under Construction",under-construction-page,https://underconstructionpage.com/,3.92,600000,plugins/zip/65/under-construction-page/under-construction-page.zip
"ElementsKit Elementor addons (Header &amp; Footer Builder, Mega Menu Builder, Layout Library)",elementskit-lite,https://products.wpmet.com/elementskit,2.5.5,600000,plugins/zip/18/elementskit-lite/elementskit-lite.zip
"Google Tag Manager for WordPress",duracelltomi-google-tag-manager,https://gtm4wp.com/,1.14.2,600000,plugins/zip/89/duracelltomi-google-tag-manager/duracelltomi-google-tag-manager.zip
"WP Statistics",wp-statistics,https://wp-statistics.com/,13.1.7,600000,plugins/zip/20/wp-statistics/wp-statistics.zip
"Imagify – Compress &amp; Optimize Images, Convert WebP",imagify,https://wordpress.org/plugins/imagify/,1.10,600000,plugins/zip/4/imagify/imagify.zip
"Really Simple CAPTCHA",really-simple-captcha,https://contactform7.com/captcha/,2.1,600000,plugins/zip/11/really-simple-captcha/really-simple-captcha.zip
"Easy WP SMTP",easy-wp-smtp,https://wp-ecommerce.net/easy-wordpress-smtp-send-emails-from-your-wordpress-site-using-a-smtp-server-2197,1.4.7,600000,plugins/zip/33/easy-wp-smtp/easy-wp-smtp.zip
