name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
advanced-flamingo,true,false,false,false,false,false
dl-admin-bar-bottom-position,true,false,true,false,false,true
grab-ar,false,false,false,false,false,false
photoshelter-official-plugin,true,false,false,false,false,false
coeur-admin-color-scheme,false,false,false,false,false,false
video-backgrounds-for-siteorigin-page-builder,false,false,false,false,false,false
stray-quotes,true,false,false,false,false,false
blip-slideshow,false,false,false,false,false,false
collection,false,false,false,false,false,false
show-only-past-comments,false,false,false,false,false,false
mooberry-book-manager-image-fixer,false,false,false,false,false,false
more-subscribers,true,false,false,false,false,false
quick-meta-keywords,false,false,false,false,false,false
bible-verses,false,false,false,false,false,false
barcode-scanner-lite-pos-to-manage-products-inventory-and-orders,true,false,true,false,false,true
beyond-wpdb,false,false,false,false,false,false
motiforms,false,false,false,false,false,false
wordpress-importer-extended,false,false,false,false,false,false
advanced-accordion-block,false,false,false,false,false,false
kundo-wordpress,true,false,false,false,false,false
wp-slideshow,false,false,false,false,false,false
ads-ez,true,false,false,false,false,false
block-logic,false,false,false,false,false,false
black-studio-touch-dropdown-menu,false,false,false,false,false,false
dominant-colors-lazy-loading,false,false,false,false,false,false
wp-sms-otp-login,true,false,true,true,true,true
admin-post-notifier,true,false,false,false,false,false
disqus-popular-posts,false,false,false,false,false,false
monetate,false,false,false,false,false,false
pet-adoption-search-widget,false,false,false,false,false,false
wp-wallet,true,false,false,false,false,false
symptoma-covid19,false,false,false,false,false,false
viet-affiliate-link,true,false,false,false,false,false
vr-frases,false,false,false,false,false,false
documents-shortcode,false,false,false,false,false,false
header-customizer-lite,false,false,false,false,false,false
multisite-edit-my-sites,true,false,true,false,false,true
tagbot,false,false,false,false,false,false
wp-theme-scripts,false,false,false,false,false,false
relative-links-fix,false,false,false,false,false,false
language-code,false,false,false,false,false,false
simple-google-photos-grid,false,false,false,false,false,false
recommended-site-list-for-seo,false,false,false,false,false,false
virtual-bangla-keyboard,false,false,false,false,false,false
hello-event,false,false,false,false,false,false
dop-shortcodes,false,false,false,false,false,false
fixed-html-toolbar,false,false,false,false,false,false
show-your-support-for-a-wordcamp,true,false,false,false,false,false
wp-travel-blocks,true,false,false,false,false,false
phongmy-push-anything-to-social,true,false,false,false,false,false
simple-ip-ban,true,false,false,false,false,false
mt-game-server-status,true,false,false,false,false,false
vector-slider,false,false,false,false,false,false
wp-twitteranalytics,false,false,false,false,false,false
wp-author-slug,true,false,false,false,false,false
simple-spoiler,false,false,false,false,false,false
redpen,false,false,false,false,false,false
concertpress,true,false,false,true,true,true
wp-awesome-login,true,false,false,false,false,false
vkontakte-vkcom-community-widget-cache,true,true,true,false,false,true
surveylock-me,false,false,false,false,false,false
advanced-tinymce-configuration,false,false,false,false,false,false
compare,false,false,false,false,false,false
simple-matomo-tracking-code,false,false,false,false,false,false
wp-version-check,true,false,false,false,false,false
regenerate-post-slug-on-save,false,false,false,false,false,false
wp-better-seo-links,false,false,false,false,false,false
wp-booklet,false,false,false,false,false,false
pile-gallery,true,false,false,false,false,false
phpeval,false,false,false,false,false,false
peepso-tools-ultimate-member-migrator,true,false,true,false,false,true
hide-wp-engine-legacy-staging,false,false,false,false,false,false
ldb-wp-e-commerce-ideal,true,false,false,false,false,false
wpcafe-oxygen-addon,false,false,false,false,false,false
simple-owl-carousel,true,false,false,false,false,false
wp-widgets-shortcode,false,false,false,false,false,false
multiple-email-recipients-wc,true,false,false,false,false,false
easy-anti-spam-bots,false,false,false,false,false,false
tc-comment-out,false,false,false,false,false,false
akismet-htaccess-writer,true,false,false,false,false,false
affinipay-payment-gateway,true,false,false,false,false,false
hellowoofy-com,false,false,false,false,false,false
lemon-hive-modules-for-beaver-builder,false,false,false,false,false,false
line-today-feed-by-tannysoft,false,false,false,false,false,false
dx-watermark,false,false,false,false,false,false
wpa-seo-auto-linker,false,false,false,false,false,false
wp-cleandb,false,false,false,false,false,false
platforminfo,false,false,false,false,false,false
tabs-widget-for-page-builder,false,false,false,false,false,false
blocks-grid-builder-for-bootstrap,false,false,false,false,false,false
blowhorn-logistics-same-day-delivery,true,false,false,false,true,true
wats,true,false,false,false,false,false
wanderlust-andreani-shipping,true,false,false,false,true,true
aims-textarea-wordcount-withwithout-space-for-contact-form-7,false,false,false,false,false,false
wc-ajax-product-filter,false,false,false,false,false,false
dublin-core-metadata-generator,true,false,false,false,false,false
simple-post-listing,false,false,false,false,false,false
wp-confession-box,true,false,false,false,false,false
firsth3tagadsense,false,false,false,false,false,false
ajax-campaign-monitor-forms,true,false,false,false,false,false
testimonial-builder,false,false,false,false,false,false
hsts-strict-preload,false,false,false,false,false,false
mpress-custom-front-page,false,false,false,false,false,false
hide-admin-bar-search,false,false,false,false,false,false
remove-website-link-field-from-comment-section,false,false,false,false,false,false
ajax-product-search-woocommerce,false,false,false,false,false,false
bookable-events,true,false,false,false,false,false
bootstrap-modal-popup,false,false,false,false,false,false
simple-web-monetization-by-interledger,false,false,false,false,false,false
text-scrambler-for-elementor,false,false,false,false,false,false
contrast-content-generator,false,false,false,false,false,false
visualfeedback,false,false,false,false,false,false
bottom-bar-with-music,false,false,false,false,false,false
report-content,true,false,false,false,false,false
hittech-fedex-shipping-with-live-rates-and-shipping-labels,true,true,true,true,true,true
tfs-lolcat,false,false,false,false,false,false
html-page-editor,false,false,false,false,false,false
remove-double-space,false,false,false,false,false,false
mvno-settings,false,false,false,false,false,false
remove-parent-category-from-slug,false,false,false,false,false,false
wc-custom-buttons,false,false,false,false,false,false
the-loyalty-box-woocommerce-rewards-program,true,false,false,false,false,false
wc-order-tracker,false,false,false,false,false,false
forethemes-functions,false,false,false,false,false,false
contactum,true,false,false,false,false,false
tawkto-live-chat,true,false,false,false,false,false
mysitesmanagercom-updates-checker,false,false,false,false,false,false
forameal-splash-screen,false,false,false,false,false,false
wpi-easy-button-shortcode,false,false,false,false,false,false
cookie-params,false,false,false,false,false,false
flexible-checkout-fields,true,false,true,false,false,true
adzapier,false,false,false,false,false,false
